ref,title,one_liner,example_customer,wedge
H-01,ThresholdIQ,Dynamic free-shipping bar with per-cart math,"US apparel/beauty/supplements DTC brands, $50K-$5M",Bar reads live cart and presents per-cart threshold mathematically tuned to next AOV tier from store order-distribution histogram
H-02,LookCart,Auto-generated Complete the Look from real co-purchase data,"US apparel/beauty/jewellery DTC brands, $100K-$5M","Reads last-90-day actual co-purchase pairs + product image embeddings, auto-publishes 3-product looks per PDP — zero curation labour"
H-03,FittingRoom3D,No-3D-model-required AR for apparel: AI generates a wearable 3D mesh from 3 product photos and deploys it to PDP in 24 hours,"apparel/fashion DTC brands, $100K-$5M","Merchant uploads 3 product photos (front, back, side); AI reconstructs a drape-capable 3D garment mesh via generative 3D pipeline and publishes the AR try-on to the PDP within 24 hours — no 3D artist needed."
H-04,PixelCart,"Vision-grounded ""Shop this look""","fashion/home/lifestyle DTC brands, $100K–$1M","GPT-4o vision decomposes any uploaded lifestyle image into structured semantic attributes (garment type, occasion, material, era) and queries the catalogue against those attributes — not feature-vector similarity, actual understanding (""relaxed linen blazer for spring"") in <2s."
H-05,CartGenius,Dynamic bundle rebundler: cart auto-optimizes for best price using Shopify Functions,"apparel/beauty/home DTC brands, $100K–$5M","Uses Shopify Functions Cart Transform API (2024) to automatically detect when a customer's cart qualifies for a bundle discount they haven't applied, then presents a one-click ""rebundle for $X less"" offer — saving the merchant margin while lifting perceived value."
H-06,Wholesale One,"B2B pricing in 30 minutes, not 3 weeks","US DTC brands, $500K-$5M","Flat €49/mo includes tiered pricing + tax-exempt flags + MOQ + net-30 invoice link + B2B-only catalog — one app, one price, 30-minute setup from CSV"
H-07,Bundle Coach / AI Bundle Builder,Auto-generated bundles from collections,"US beauty/supplements/pet DTC brands, $200K–$1M","Ingests the store's collections + last-90-days order data and auto-generates 5–10 bundle proposals each week — name, copy, hero image stitched from product photos — that the merchant approves via swipe-UI like Tinder."
H-08,ZeroPage,AI-matched alternative on OOS & 404 pages,"US fashion/beauty/accessories DTC brands, $50K–$600K","Theme app extension intercepts OOS + 404 pages and renders top-3 in-stock matches as a ""Similar picks"" card scored via lightweight embedding (text-embedding-3-small) — recovering revenue from pages that previously returned €0."
H-09,CheckoutPulse,Live social proof in the checkout extension,"US fashion/beauty/home DTC brands, $50K–$800K","Drag-and-drop checkout block rendering ""47 people bought today"" + one pinned 5-star review relevant to the cart SKU + trust badges — pure social proof at the moment before Pay, where trust panic peaks."
H-10,QuizCart,"Product recommendation quiz embedded inside Shopify checkout extensions, killing Octane AI's $50+ engagement-metered entry","US apparel/beauty/wellness DTC brands, $100K–$2M","(one sentence):** Move the product-fit quiz from a pre-purchase landing page (where Octane lives) into a Shopify checkout extension widget — so the recommendation happens at peak purchase intent, after a customer has already added to cart but before they complete payment, lifting AOV and reducing post-purchase returns."
H-11,SessionMind,Real-time persona engine reshuffling PDP mid-session,"DTC brands, $150K–$750K","Lightweight JS agent builds live behavioral profile from 3 pageviews; hosted small LLM classifies into merchant-defined personas (""gift-giver"", ""performance seeker""); PDP swaps hero/CTA/social proof in <300ms — first-time visitor sees a page shaped for them, not a static template."
H-12,FlashFair,"Randomized flash sale: a mystery discount fires for N minutes, customers must act blind","fashion/beauty/supplements DTC brands, $100K-$5M","Merchant schedules ""blind flash events"" — at a random moment within a window (e.g., sometime between 2–4pm Tuesday), a site-wide or collection-level mystery discount fires for exactly 15 minutes, announced only by a live storefront banner with no pre-announcement — creating genuine urgency and habitual site check behavior."
H-13,GuessRight,"Reverse quiz: guess the match, unlock a discount if correct","apparel/beauty/wellness DTC brands, $100K-$5M","Customer is shown a product and asked to guess the right attribute (ingredient, material, origin, flavor) — if correct, a discount unlocks; if wrong, a recommendation is surfaced. Combines product education with a gamified conversion moment."
